index;Исполнительный комитет;Администрация;Министерство здравоохранения;Муниципальное образование город;Управление административно технической инспекции;Комитет жилищно коммунального хозяйства;Комитет внешнего благоустройства;ООО Твои мобильные технологии;МБУ Дирекция парков скверов;Министерство внутренних дел;Управление Роспотребнадзор по РТрт;Управление наружной рекламы информации Исполнительного комитета муниципального образования города;Комитет по транспорту;Министерство спорта;Министерство транспорта дорожного хозяйства;ООО Управляющая компания Уютный дом;Исполнительный комитет Елабуга;Управление Роспотребнадзор;МУП Метроэлектротранс;Комитет земельных имущественных отношений;Комитет потребительского рынка;Государственное казенное учреждение Главное управление содержания развития дорожно транспортного комплекса при Министерстве транспорта дорожного хозяйства;Управление образования ИКМО;Комитет физической культуры спорта;МКУ Организатор пассажирских перевозок;Управление капитального строительства реконструкции;МКУ Автоматизированная система управления дорожным движением;Исполнительный комитет Казани;УФПС Татарстан Почтасы филиал ФГУП Почта России;ПАО МегаФон;Центральное территориальное управление Минэкологии;Неизвестный исполнитель;ООО УК ЖКХ;ООО Скартел;Управление информационных технологий связи;Административная комиссия Казани;МКУ Организатор городского парковочного пространства;ПАО Мобильные ТелеСистемы;Управление культуры;Министерство цифрового развития государственного управления информационных технологий связи;Управление Росприроднадзора;Закамское Территориальное Управление МЭПР РТ;Министерство строительства архитектуры жилищно коммунального хозяйства;ПАТП;ООО Мобайл;Волжско Камское территориальное управление МЭПР;Комитет по охране объектов культурного нaследия;ПАО ВымпелКом;Управление градостроительных разрешений;Прикамское территориальное управление МЭПР;Филиал РТРС РТПЦ;Министерство культуры;МУП Пассажирское автотранспортное предприятие Казань ул Крылова;Муниципальное Учреждение Исполнительный комитет;Инспекция Государственного строительного надзора;Управление архитектуры градостроительства;Министерство земельных имущественных отношений;ФГБОУ ВО Поволжская академия физической культуры спорта туризма;Управление Федеральной антимонопольной службы;Министерство лесного хозяйства;Администрация администрация;Администрация администрация ;Муниципальное казенное учреждение Управление по организации ритуальных услуг Исполнительного комитета муниципального образования города;ООО УК Старый город;Служба поддержки;Заволжское территориальное управление МЭПР;Министерство труда занятости социальной защиты;Министерство информатизации связи;Управление наружной рекламы информации;ГУ Управление Государственной безопасности дорожного движения МВД;Дирекция парков скверов Казани;Администрацияное инвестиционно строительное Управление;Юго Восточное территориальное управление МЭПР;Управление Федеральной службы по ветеринарному фитосанитарному надзору;УФПС Татарстан Почтасы;МКУ Автоматизированная система управления дорожным движением Казани;МКУ Управление наружной рекламы информации ИКМО;Приикское территориальное управление МЭПР;Министерство по делам гражданской обороны чрезвычайным ситуациям;Министерство экологии природных ресурсов;Северное территориальное управление МЭПР;Палата земельных имущественных отношений Альметьевского МР РТ
sbj0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj1;0.25;0.375;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj2;0.282;0.338;0.038;0.136;0.009;0.033;0.038;0.0;0.014;0.0;0.005;0.038;0.023;0.005;0.0;0.005;0.014;0.005;0.009;0.005;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj3;0.188;0.438;0.0;0.188;0.0;0.0;0.062;0.062;0.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj4;0.308;0.385;0.0;0.231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj5;0.286;0.357;0.071;0.071;0.0;0.0;0.071;0.0;0.071;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj6;0.429;0.286;0.0;0.071;0.071;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj8;0.362;0.468;0.0;0.106;0.043;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj9;0.176;0.294;0.0;0.059;0.059;0.059;0.118;0.0;0.059;0.059;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
